Generation,Average Fitness,Best Fitness,Worst Fitness
395,344.81,452.30,-667.65
396,345.15,452.90,-437.60
397,348.16,456.70,-337.55
398,351.20,453.45,-399.75
399,345.27,453.75,-480.25
400,327.76,452.55,-505.85
401,334.16,454.00,-761.50
402,351.28,456.95,-438.55
403,355.15,462.50,-591.40
404,349.41,461.95,-787.65
405,331.94,466.90,-468.05
406,359.25,468.65,-498.90
407,370.34,472.40,-481.10
408,342.60,466.50,-542.00
409,357.04,471.85,-694.85
410,336.67,467.50,-574.09
411,357.75,469.20,-606.35
412,363.66,470.55,-552.65
413,336.39,470.20,-597.30
414,355.38,471.05,-493.75
415,371.24,471.40,-475.65
416,341.72,470.85,-646.82
417,348.05,470.40,-769.75
418,333.91,469.05,-522.40
419,341.40,472.65,-703.40
420,366.05,473.35,-497.65
421,358.52,474.50,-554.12
422,354.71,471.60,-706.20
423,362.08,473.10,-661.45
424,344.60,474.45,-519.15
425,372.35,472.60,-725.15
426,348.52,474.55,-723.50
427,373.83,476.00,-520.80
428,353.94,473.15,-771.80
429,352.03,474.45,-520.50
430,357.42,475.25,-818.25
431,347.65,474.10,-824.95
432,351.65,476.10,-629.50
433,339.15,478.90,-665.20
434,334.81,475.15,-513.95
435,380.84,474.20,-840.00
436,356.46,478.30,-723.30
437,354.62,480.20,-809.95
438,359.26,481.95,-752.00
439,372.05,478.15,-671.50
440,350.06,475.95,-746.20
441,356.22,474.70,-512.82
442,353.93,475.90,-510.30
443,357.79,476.20,-693.45
444,364.75,480.80,-478.75
445,352.33,479.30,-840.65
446,347.99,484.25,-749.50
447,338.43,476.80,-918.05
448,353.95,476.60,-510.15
449,360.91,484.50,-811.05
450,367.60,476.50,-418.25
451,336.56,477.10,-865.00
452,362.48,477.70,-472.80
453,349.64,479.80,-543.10
454,346.55,478.40,-446.21
455,380.34,482.30,-761.05
456,367.64,484.20,-862.10
457,354.16,480.70,-747.66
458,364.26,478.05,-498.05
459,341.48,476.40,-813.80
460,363.32,480.40,-680.65
461,361.39,481.60,-513.20
462,355.06,481.90,-506.15
463,351.86,487.00,-677.15
464,352.67,480.80,-785.00
465,356.80,478.80,-724.10
466,341.01,480.10,-699.70
467,366.56,479.95,-480.20
468,364.06,480.00,-591.08
469,342.06,482.40,-532.25
470,347.23,479.60,-514.45
471,386.04,479.25,-183.54
472,367.68,481.70,-529.80
473,355.91,481.50,-364.90
474,357.16,477.80,-539.50
475,350.87,483.80,-545.65
476,390.40,480.40,-181.23
477,353.30,479.30,-488.80
478,360.57,479.00,-418.91
479,349.34,479.00,-480.90
480,373.32,477.50,-873.50
481,356.48,479.50,-853.80
482,357.00,477.30,-809.25
483,385.22,475.90,-279.50
484,343.40,475.80,-720.75
485,357.67,478.80,-715.80
486,354.77,478.30,-691.25
487,346.99,478.50,-817.45
488,362.39,479.85,-740.29
489,367.05,478.80,-830.75
490,379.88,477.75,-852.45
491,361.19,476.55,-543.65
492,363.25,481.10,-382.10
493,358.74,480.45,-532.08
494,332.26,480.10,-526.05
495,367.32,478.90,-775.40
496,359.02,480.90,-725.25
497,373.56,482.80,-485.80
498,355.74,482.85,-597.65
499,365.23,477.45,-478.00
500,359.00,481.95,-556.70
501,373.76,486.90,-779.55
502,344.23,479.40,-722.75
503,333.53,477.70,-930.00
504,365.26,482.55,-821.80
505,337.50,478.55,-739.60
506,359.56,479.30,-529.35
507,347.21,480.59,-773.28
508,346.56,477.80,-861.15
509,367.13,481.10,-476.90
510,383.98,479.55,-582.34
511,361.60,475.20,-723.83
512,361.63,478.00,-553.20
513,348.73,481.05,-456.90
514,342.07,479.70,-557.95
515,342.40,479.90,-760.10
516,336.30,478.15,-738.25
517,315.63,477.80,-818.55
518,369.79,480.25,-774.35
519,378.94,474.05,-547.30
520,367.30,482.35,-538.15
521,328.36,476.85,-813.05
522,359.77,479.45,-422.85
523,367.09,486.00,-420.40
524,355.23,484.65,-817.95
525,355.83,492.25,-489.00
526,356.50,484.85,-619.00
527,377.59,483.60,-401.70
528,335.75,486.15,-838.00
529,363.09,485.50,-943.50
530,342.84,482.55,-731.83
531,372.25,482.00,-406.75
532,352.30,483.55,-800.40
533,334.93,485.75,-579.70
534,364.46,482.25,-467.30
535,354.24,486.70,-736.00
536,363.03,491.05,-639.10
537,353.28,491.20,-627.15
538,343.57,486.55,-564.30
539,359.56,487.80,-475.40
540,332.45,482.35,-638.30
541,365.52,486.10,-696.95
542,335.23,490.80,-558.34
543,371.07,484.05,-529.80
544,378.49,492.45,-813.25
545,377.08,488.70,-228.20
546,373.82,490.85,-813.15
547,353.32,485.25,-707.45
548,358.69,489.10,-751.85
549,357.86,492.30,-874.45
550,337.51,489.95,-828.30
551,366.93,485.00,-754.60
552,359.47,491.15,-545.20
553,360.13,489.35,-673.10
554,354.84,486.50,-531.70
555,354.97,488.15,-830.60
556,371.34,486.90,-372.10
557,351.43,494.80,-842.50
558,356.91,486.10,-291.60
559,362.65,488.40,-790.00
560,371.63,492.00,-801.30
561,364.81,491.00,-741.65
562,371.73,489.15,-498.70
563,373.53,490.60,-505.65
564,377.39,493.70,-576.40
565,362.75,489.45,-698.85
566,336.33,489.50,-795.00
567,365.73,489.20,-571.80
568,334.70,484.70,-813.15
569,353.94,491.00,-382.90
570,360.55,492.70,-638.00
571,374.45,492.10,-756.80
572,357.84,489.25,-748.60
573,355.34,489.20,-385.39
574,373.41,490.30,-420.94
575,375.67,495.95,-537.95
576,370.84,490.75,-768.50
577,359.63,486.85,-513.35
578,358.02,488.80,-796.26
579,374.13,488.35,-864.30
580,369.50,486.80,-429.55
581,370.15,495.05,-459.70
582,350.24,487.40,-544.85
583,355.56,494.00,-772.65
584,378.47,490.70,-817.85
585,354.02,490.35,-811.00
586,357.52,493.35,-610.65
587,359.25,490.10,-796.15
588,360.43,488.65,-541.05
589,343.18,489.45,-754.20
590,380.02,489.25,-661.00
591,327.43,495.20,-657.75
592,382.53,492.45,-780.15
593,385.14,492.40,-897.55
594,369.49,489.00,-707.50
595,351.66,491.30,-768.40
596,372.80,489.40,-699.50
597,351.22,492.80,-689.55
598,382.43,488.80,-419.54
599,351.46,490.30,-760.75
600,364.47,488.40,-450.00
601,362.67,487.80,-500.30
602,352.60,490.60,-782.45
603,376.53,491.60,-809.00
604,353.51,495.95,-805.81
605,367.28,489.30,-300.20
606,362.64,488.90,-818.65
607,354.26,488.30,-675.90
608,369.67,488.40,-444.55
609,365.33,490.80,-503.30
610,347.30,489.65,-879.25
611,350.80,487.85,-725.25
612,358.36,488.45,-572.00
613,337.66,490.20,-581.95
614,356.68,487.70,-794.50
615,393.84,487.65,-541.15
616,359.26,491.90,-614.35
617,355.40,490.65,-855.05
618,365.38,497.50,-673.50
619,348.94,493.50,-813.55
620,359.67,496.10,-726.25
621,370.88,490.00,-514.20
622,364.10,492.30,-543.85
623,387.12,489.30,-347.80
624,380.79,488.60,-777.60
625,361.75,489.25,-751.00
626,382.07,491.80,-367.65
627,358.45,496.10,-811.45
628,373.81,490.50,-403.35
629,356.93,490.35,-827.90
630,354.20,488.05,-482.00
631,361.14,491.50,-532.86
632,379.68,498.50,-651.75
633,379.38,488.85,-677.65
634,359.32,488.20,-867.45
635,352.36,490.70,-709.45
636,363.29,494.20,-739.70
637,373.12,486.00,-630.95
638,371.53,489.05,-729.25
639,350.69,489.45,-749.20
640,351.13,494.25,-721.70
641,369.29,489.60,-547.90
642,347.27,491.80,-532.65
643,360.18,488.75,-724.65
644,379.87,488.10,-374.15
645,362.88,491.50,-563.80
646,355.65,487.40,-845.40
647,370.70,489.60,-569.20
648,359.07,490.20,-785.50
649,344.46,489.80,-778.80
650,382.53,489.75,-575.95
651,380.52,489.00,-385.30
652,365.59,494.95,-826.55
653,358.18,489.00,-831.00
654,366.48,490.90,-792.25
655,352.35,487.10,-832.05
656,385.83,490.80,-566.20
657,352.73,492.10,-891.60
658,389.83,492.00,-166.85
659,368.21,489.30,-735.35
660,372.30,488.40,-574.75
661,349.50,494.70,-721.90
662,368.86,490.20,-446.55
663,382.46,488.45,-603.05
664,373.44,489.95,-535.35
665,362.64,489.90,-618.65
666,365.57,488.45,-747.85
667,375.43,493.50,-795.90
668,394.42,489.30,-714.90
669,372.79,488.75,-726.10
670,389.48,490.15,-536.00
671,358.41,490.40,-926.95
672,365.88,490.00,-665.40
673,391.94,488.95,-512.45
674,375.54,493.90,-445.45
675,377.82,488.50,-367.05
676,352.23,488.05,-860.73
677,366.50,491.75,-404.40
